"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",1.5238,0,4,0,"LOVE","ural1272",18
"ANY","nhs",9,NA,NA,NA,"LOVE","ural1272",18
"ANY","null",0.6928,0,3,0.9848,"LOVE","utoa1244",7
"ANY","nhs",1,NA,NA,NA,"LOVE","utoa1244",7
"ANY","null",0.6656,0,2,0.2752,"LOVE","yano1268",7
"ANY","nhs",2,NA,NA,NA,"LOVE","yano1268",7
"ANY","null",6.8642,2,12,8e-04,"PLAY","afro1255",64
"ANY","nhs",17,NA,NA,NA,"PLAY","afro1255",64
"ANY","null",10.4218,4,17,0.0776,"PLAY","algi1248",60
"ANY","nhs",17,NA,NA,NA,"PLAY","algi1248",60
"ANY","null",8.8048,3,15,0.3684,"PLAY","atha1245",23
"ANY","nhs",12,NA,NA,NA,"PLAY","atha1245",23
"ANY","null",15.9334,9,24,0.0124,"PLAY","atla1278",134
"ANY","nhs",27,NA,NA,NA,"PLAY","atla1278",134
"ANY","null",8.4536,3,15,0.816,"PLAY","aust1305",25
"ANY","nhs",8,NA,NA,NA,"PLAY","aust1305",25
"ANY","null",7.659,3,14,0,"PLAY","aust1307",48
"ANY","nhs",29,NA,NA,NA,"PLAY","aust1307",48
"ANY","null",1.1628,0,4,0.6464,"PLAY","ayma1253",11
"ANY","nhs",2,NA,NA,NA,"PLAY","ayma1253",11
"ANY","null",0.5608,0,2,0,"PLAY","boro1281",10
"ANY","nhs",0,NA,NA,NA,"PLAY","boro1281",10
"ANY","null",10.5988,5,16,0.00439999999999996,"PLAY","chib1249",34
"ANY","nhs",4,NA,NA,NA,"PLAY","chib1249",34
"ANY","null",3.9024,1,8,0.502,"PLAY","chon1288",6
"ANY","nhs",3,NA,NA,NA,"PLAY","chon1288",6
"ANY","null",4.364,1,8,0.0176,"PLAY","chuk1271",9
"ANY","nhs",10,NA,NA,NA,"PLAY","chuk1271",9
"ANY","null",96.2976,85,107,0.4824,"PLAY","dogo1299",18
"ANY","nhs",93,NA,NA,NA,"PLAY","dogo1299",18
"ANY","null",6.3906,3,11,0.064,"PLAY","eski1264",19
"ANY","nhs",11,NA,NA,NA,"PLAY","eski1264",19
"ANY","null",6.3424,2,12,0.0552,"PLAY","indo1319",68
"ANY","nhs",12,NA,NA,NA,"PLAY","indo1319",68
"ANY","null",4.804,1,9,0.7064,"PLAY","kore1284",42
"ANY","nhs",6,NA,NA,NA,"PLAY","kore1284",42
"ANY","null",0.1758,0,1,0,"PLAY","mata1289",6
"ANY","nhs",0,NA,NA,NA,"PLAY","mata1289",6
"ANY","null",0.4466,0,2,0.224,"PLAY","maya1287",7
"ANY","nhs",2,NA,NA,NA,"PLAY","maya1287",7
"ANY","null",1.5762,0,4,0.4112,"PLAY","nilo1247",9
"ANY","nhs",3,NA,NA,NA,"PLAY","nilo1247",9
"ANY","null",0.6758,0,3,0.2908,"PLAY","saha1256",8
"ANY","nhs",2,NA,NA,NA,"PLAY","saha1256",8
"ANY","null",1.1338,0,4,0.6352,"PLAY","sino1245",49
"ANY","nhs",2,NA,NA,NA,"PLAY","sino1245",49
"ANY","null",1.2438,0,4,0,"PLAY","taik1256",20
"ANY","nhs",11,NA,NA,NA,"PLAY","taik1256",20
"ANY","null",1.3816,0,4,0.312,"PLAY","tuca1253",14
"ANY","nhs",3,NA,NA,NA,"PLAY","tuca1253",14
"ANY","null",0.6218,0,3,0,"PLAY","tupi1275",8
"ANY","nhs",0,NA,NA,NA,"PLAY","tupi1275",8
"ANY","null",0.7492,0,3,0.1132,"PLAY","turk1311",13
"ANY","nhs",3,NA,NA,NA,"PLAY","turk1311",13
"ANY","null",2.4088,0,6,0.842,"PLAY","ural1272",18
"ANY","nhs",3,NA,NA,NA,"PLAY","ural1272",18
"ANY","null",1.1828,0,4,0.6412,"PLAY","utoa1244",7
"ANY","nhs",1,NA,NA,NA,"PLAY","utoa1244",7
"ANY","null",0.4286,0,2,0,"PLAY","yano1268",7
"ANY","nhs",0,NA,NA,NA,"PLAY","yano1268",7
"ANY","null",29.3854,20,39,0,"PROCESSION","afro1255",64
"ANY","nhs",87,NA,NA,NA,"PROCESSION","afro1255",64
"ANY","null",9.4596,4,15,0.1672,"PROCESSION","algi1248",60
"ANY","nhs",14,NA,NA,NA,"PROCESSION","algi1248",60
"ANY","null",2.6014,0,6,4e-04,"PROCESSION","atha1245",23
"ANY","nhs",10,NA,NA,NA,"PROCESSION","atha1245",23
"ANY","null",17.145,10,25,0,"PROCESSION","atla1278",134
"ANY","nhs",41,NA,NA,NA,"PROCESSION","atla1278",134
"ANY","null",40.993,30,52,0.0132,"PROCESSION","aust1305",25
"ANY","nhs",56,NA,NA,NA,"PROCESSION","aust1305",25
"ANY","null",26.8152,18,36,0,"PROCESSION","aust1307",48
"ANY","nhs",49,NA,NA,NA,"PROCESSION","aust1307",48
"ANY","null",0.753,0,3,0.0132,"PROCESSION","ayma1253",11
"ANY","nhs",4,NA,NA,NA,"PROCESSION","ayma1253",11
"ANY","null",1.3436,0,4,0.4796,"PROCESSION","boro1281",10
"ANY","nhs",1,NA,NA,NA,"PROCESSION","boro1281",10
"ANY","null",7.5236,3,12,0.9768,"PROCESSION","chib1249",34
"ANY","nhs",8,NA,NA,NA,"PROCESSION","chib1249",34
"ANY","null",0.5962,0,2,0,"PROCESSION","chon1288",6
"ANY","nhs",0,NA,NA,NA,"PROCESSION","chon1288",6
"ANY","null",1.428,0,4,0,"PROCESSION","chuk1271",9
"ANY","nhs",0,NA,NA,NA,"PROCESSION","chuk1271",9
"ANY","null",1.7636,0,5,0,"PROCESSION","dogo1299",18
"ANY","nhs",12,NA,NA,NA,"PROCESSION","dogo1299",18
"ANY","null",0.664,0,3,0.9852,"PROCESSION","eski1264",19
"ANY","nhs",1,NA,NA,NA,"PROCESSION","eski1264",19
"ANY","null",12.3786,7,19,0,"PROCESSION","indo1319",68
"ANY","nhs",27,NA,NA,NA,"PROCESSION","indo1319",68
"ANY","null",12.6022,7,19,0.1252,"PROCESSION","kore1284",42
"ANY","nhs",18,NA,NA,NA,"PROCESSION","kore1284",42
"ANY","null",0.3554,0,2,0.0952,"PROCESSION","mata1289",6
"ANY","nhs",2,NA,NA,NA,"PROCESSION","mata1289",6
