"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1273","relative pitch",3,"-7_-2",26,0.000401480425829921,4,0.980543820079503,180,0.000504250810421248
"1274","relative pitch",3,"+2_-10",9,0.000395996443019189,3,0.980939816522522,181,0.000500927676068492
"1275","relative pitch",3,"+4_+1",22,0.000386377183373494,6,0.981326193705896,182,0.000497644558383262
"1276","relative pitch",3,"-11_+3",12,0.000383754397185801,1,0.981709948103081,183,0.000494400759717565
"1277","relative pitch",3,"+6_+1",7,0.000379664258479641,2,0.982089612361561,184,0.000491195598307098
"1278","relative pitch",3,"+7_-9",15,0.000373663910236526,5,0.982463276271798,185,0.000488028407825811
"1279","relative pitch",3,"+9_-7",25,0.000367874177065161,3,0.982831150448863,186,0.000484898536955295
"1280","relative pitch",3,"-2_-9",23,0.000365036598347838,3,0.983196187047211,187,0.000481805348968405
"1281","relative pitch",3,"+1_-2",14,0.00036103330488661,5,0.983557220352097,188,0.000478748221326603
"1282","relative pitch",3,"-4_+6",6,0.000360620266858997,1,0.983917840618956,189,0.00047572654529046
"1283","relative pitch",3,"-10_+5",3,0.000349214822723431,2,0.98426705544168,190,0.000472739725542864
"1284","relative pitch",3,"-9_+4",7,0.000339678889002827,2,0.984606734330682,191,0.000469787179824415
"1285","relative pitch",3,"+7_-5",11,0.000319949154326827,7,0.984926683485009,192,0.00046686833858058
"1286","relative pitch",3,"+9_+2",12,0.000312148051334103,2,0.985238831536343,193,0.000463982644620155
"1287","relative pitch",3,"+4_-9",11,0.000307279052434367,3,0.985546110588778,194,0.000461129552784623
"1288","relative pitch",3,"-5_+10",8,0.000303809196275498,2,0.985849919785053,195,0.000458308529627998
"1289","relative pitch",3,"+11_-9",6,0.000301581657513861,3,0.986151501442567,196,0.00045551905310678
"1290","relative pitch",3,"+6_-6",10,0.000300077526103854,5,0.986451578968671,197,0.000452760612279645
"1291","relative pitch",3,"+5_-4",17,0.000290917020357343,5,0.986742495989028,198,0.000450032707016522
"1292","relative pitch",3,"+5_-10",2,0.000290556900726392,2,0.987033052889755,199,0.000447334847716713
"1293","relative pitch",3,"+1_-8",9,0.000287257480823073,5,0.987320310370578,200,0.000444666555035732
"1294","relative pitch",3,"+5_+5",1,0.000282485875706215,1,0.987602796246284,201,0.00044202735962056
"1295","relative pitch",3,"+8_-10",9,0.000281502746293473,4,0.987884298992578,202,0.000439416801853003
"1296","relative pitch",3,"-11_+7",17,0.000275478356297049,3,0.988159777348875,203,0.00043683443160087
"1297","relative pitch",3,"+3_+1",10,0.000271505834256026,3,0.988431283183131,204,0.000434279807976709
"1298","relative pitch",3,"-4_+9",6,0.000269161929612927,3,0.988700445112744,205,0.000431752499103811
"1299","relative pitch",3,"+2_+4",17,0.000261631060061788,4,0.988962076172805,206,0.000429252081889256
"1300","relative pitch",3,"-7_+10",11,0.00025648690367261,3,0.989218563076478,207,0.000426778141803734
"1301","relative pitch",3,"+4_+7",4,0.000240413511239332,1,0.989458976587717,208,0.000424330272667917
"1302","relative pitch",3,"+1_+3",10,0.000230287398673545,1,0.989689263986391,209,0.000421908076445162
"1303","relative pitch",3,"-6_-2",11,0.000230049408143267,2,0.989919313394534,210,0.000419511163040313
"1304","relative pitch",3,"+11_-7",5,0.000222109974382311,3,0.990141423368916,211,0.000417139150104411
"1305","relative pitch",3,"+0_+6",9,0.000221469430580598,6,0.990362892799497,212,0.0004147916628451
"1306","relative pitch",3,"-7_+11",7,0.000211093515629491,3,0.990573986315126,213,0.00041246833384254
"1307","relative pitch",3,"+9_-4",8,0.000210841111543908,4,0.99078482742667,214,0.000410168802870647
"1308","relative pitch",3,"-1_+9",16,0.00021043397504372,3,0.990995261401714,215,0.000407892716723475
"1309","relative pitch",3,"+6_-9",13,0.000209135462848177,2,0.991204396864562,216,0.000405639729046571
"1310","relative pitch",3,"-3_+8",8,0.000201612244431156,3,0.991406009108993,217,0.000403409500173143
