"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",18.4418,11,27,0.8456,"GROUPBONDING","South America",88
"ANY","nhs",18,NA,NA,NA,"GROUPBONDING","South America",88
"ANY","null",55.2756,43,68,0,"EMOTION","Africa",233
"ANY","nhs",86,NA,NA,NA,"EMOTION","Africa",233
"ANY","null",15.7624,9,24,0.324,"EMOTION","Asia",215
"ANY","nhs",20,NA,NA,NA,"EMOTION","Asia",215
"ANY","null",2.3636,0,6,0.0036,"EMOTION","Europe",62
"ANY","nhs",8,NA,NA,NA,"EMOTION","Europe",62
"ANY","null",1.7548,0,5,0,"EMOTION","Middle America and the Caribbean",37
"ANY","nhs",0,NA,NA,NA,"EMOTION","Middle America and the Caribbean",37
"ANY","null",0.025,0,0.0249999999996362,0,"EMOTION","Middle East",6
"ANY","nhs",0,NA,NA,NA,"EMOTION","Middle East",6
"ANY","null",14.9764,9,22,0,"EMOTION","North America",102
"ANY","nhs",30,NA,NA,NA,"EMOTION","North America",102
"ANY","null",12.7026,7,20,0.0012,"EMOTION","South America",88
"ANY","nhs",26,NA,NA,NA,"EMOTION","South America",88
"ANY","null",22.8756,15,31,0.5392,"RITUAL","Africa",233
"ANY","nhs",26,NA,NA,NA,"RITUAL","Africa",233
"ANY","null",20.5954,13,30,0,"RITUAL","Asia",215
"ANY","nhs",56,NA,NA,NA,"RITUAL","Asia",215
"ANY","null",4.6384,1,9,8e-04,"RITUAL","Europe",62
"ANY","nhs",13,NA,NA,NA,"RITUAL","Europe",62
"ANY","null",2.4654,0,6,0.544,"RITUAL","Middle America and the Caribbean",37
"ANY","nhs",2,NA,NA,NA,"RITUAL","Middle America and the Caribbean",37
"ANY","null",0.2762,0,2,0.4908,"RITUAL","Middle East",6
"ANY","nhs",1,NA,NA,NA,"RITUAL","Middle East",6
"ANY","null",11.3304,6,18,0.0048,"RITUAL","North America",102
"ANY","nhs",21,NA,NA,NA,"RITUAL","North America",102
"ANY","null",2.6262,0,6,0,"RITUAL","South America",88
"ANY","nhs",10,NA,NA,NA,"RITUAL","South America",88
