"q","year","est","cilo","cihi"
3,1930,-0.0276633639983111,-0.0526706884470676,-0.00331855486057399
3,1931,-0.0263468944143889,-0.0501708236950212,-0.00313829452677434
3,1932,-0.02502340392352,-0.0477097128163114,-0.00295185138544101
3,1933,-0.0236928925257045,-0.0452712690170168,-0.00276903861638912
3,1934,-0.0223553602209423,-0.0427262030626572,-0.00257332663856599
3,1935,-0.0210108070092334,-0.04016900559945,-0.00240945742769998
3,1936,-0.0196592328905778,-0.0375935656887047,-0.00223123641916919
3,1937,-0.0183006378649756,-0.0349980118095195,-0.00202640318225773
3,1938,-0.0169350219324267,-0.0324222254634198,-0.00183645646281658
3,1939,-0.0155623850929312,-0.029791716219989,-0.00167457613648042
3,1940,-0.014182727346489,-0.027178299802996,-0.00152646396699665
3,1941,-0.0127960486931001,-0.0245511002859133,-0.00134398455275045
3,1942,-0.0114023491327645,-0.0219134179267992,-0.00116122299311091
3,1943,-0.0100016286654823,-0.0192167602059138,-0.000980337580977618
3,1944,-0.0085938872912534,-0.0165239692480298,-0.000828038434698183
3,1945,-0.00717912501007783,-0.0138198050665326,-0.000658988763217607
3,1946,-0.0057573418219556,-0.0110879979164793,-0.00051998208848539
3,1947,-0.0043285377268867,-0.00835288975154149,-0.000384305314167813
3,1948,-0.00289271272487114,-0.00558943240900026,-0.000245661987775341
3,1949,-0.0014498668159089,-0.00280628571981433,-0.000120124857391285
3,1950,0,0,0
3,1951,0.00145688772285557,0.000114439248749486,0.00282548228622484
3,1952,0.00292079635265781,0.000221268262722566,0.00567473750562884
3,1953,0.00439172588940672,0.000317303413893849,0.00854024782208836
3,1954,0.0058696763331023,0.000410237530661433,0.0114360895380559
3,1955,0.00735464768374454,0.000498916655133181,0.0143533501613543
3,1956,0.00884663994133345,0.000582220259672161,0.0172871007444522
3,1957,0.010345653105869,0.000652404516821421,0.0202511919381861
3,1958,0.0118516871773513,0.000734107193969565,0.0232305653221097
3,1959,0.0133647421557802,0.000797089089854346,0.0262340316068002
3,1960,0.0148848180411558,0.000853810273941414,0.0292800217815576
3,1961,0.016411914833478,0.000883727781854518,0.0323262367542404
3,1962,0.017946032532747,0.000933590356065796,0.0353949111925664
3,1963,0.0194871711389626,0.000960733207316924,0.0384862472282871
3,1964,0.0210353306521248,0.000981159355360988,0.0415890178441256
3,1965,0.0225905110722337,0.000976353375864691,0.0447291561112896
3,1966,0.0241527123992893,0.000968760209880386,0.047900398439453
3,1967,0.0257219346332916,0.000935341368821381,0.0511177481895529
3,1968,0.0272981777742405,0.00092544137498794,0.054368157969185
3,1969,0.0288814418221361,0.000901300634043242,0.0575927717853626
3,1970,0.0304717267769784,0.000855284413295313,0.0608316496169687
3,1971,0.0320690326387673,0.000791023747600405,0.0641452021142731
3,1972,0.0336733594075029,0.00070152804473988,0.0674266910204996
3,1973,0.0352847070831852,0.000646997973163884,0.0707725603652269
3,1974,0.0369030756658141,0.000584374903368634,0.0741907768395256
