ocm,type,est,cilo,cihi,p,category,group,ndocs
ANY,null,11.2686,6,18,.0004,GROUPBONDING,Middle America and the Caribbean,37
ANY,nhs,2,NA,NA,.0004,GROUPBONDING,Middle America and the Caribbean,37
ANY,null,.1744,0,1,0,GROUPBONDING,Middle East,6
ANY,nhs,0,NA,NA,0,GROUPBONDING,Middle East,6
ANY,null,13.1436,7,20,.1292,GROUPBONDING,North America,102
ANY,nhs,19,NA,NA,.1292,GROUPBONDING,North America,102
ANY,null,18.441799,11,27,.8456,GROUPBONDING,South America,88
ANY,nhs,18,NA,NA,.8456,GROUPBONDING,South America,88
ANY,null,55.2756,43,68,0,EMOTION,Africa,233
ANY,nhs,86,NA,NA,0,EMOTION,Africa,233
ANY,null,15.7624,9,24,.324,EMOTION,Asia,215
ANY,nhs,20,NA,NA,.324,EMOTION,Asia,215
ANY,null,2.3636,0,6,.0036,EMOTION,Europe,62
ANY,nhs,8,NA,NA,.0036,EMOTION,Europe,62
ANY,null,1.7548,0,5,0,EMOTION,Middle America and the Caribbean,37
ANY,nhs,0,NA,NA,0,EMOTION,Middle America and the Caribbean,37
ANY,null,.025,0,0.0249999999996362,0,EMOTION,Middle East,6
ANY,nhs,0,NA,NA,0,EMOTION,Middle East,6
ANY,null,14.9764,9,22,0,EMOTION,North America,102
ANY,nhs,30,NA,NA,0,EMOTION,North America,102
ANY,null,12.7026,7,20,.0012,EMOTION,South America,88
ANY,nhs,26,NA,NA,.0012,EMOTION,South America,88
ANY,null,22.875601,15,31,.5392,RITUAL,Africa,233
ANY,nhs,26,NA,NA,.5392,RITUAL,Africa,233
ANY,null,20.5954,13,30,0,RITUAL,Asia,215
ANY,nhs,56,NA,NA,0,RITUAL,Asia,215
ANY,null,4.6384001,1,9,.0008,RITUAL,Europe,62
ANY,nhs,13,NA,NA,.0008,RITUAL,Europe,62
ANY,null,2.4654,0,6,.544,RITUAL,Middle America and the Caribbean,37
ANY,nhs,2,NA,NA,.544,RITUAL,Middle America and the Caribbean,37
ANY,null,.2762,0,2,.4908,RITUAL,Middle East,6
ANY,nhs,1,NA,NA,.4908,RITUAL,Middle East,6
ANY,null,11.3304,6,18,.0048,RITUAL,North America,102
ANY,nhs,21,NA,NA,.0048,RITUAL,North America,102
ANY,null,2.6262,0,6,0,RITUAL,South America,88
ANY,nhs,10,NA,NA,0,RITUAL,South America,88
