song,func_danc,func_heal,func_love,func_baby,func_dead,func_stor,form_sing,form_gend,form_inst,form_melo,form_rhyt,form_fast,form_beat,form_exci,form_happ,form_plea
21,2.167464,2.3492823,3.4880383,5.3110046,1.6889952,3.5406699,1.0789474,.89333332,.1,2.2941177,2.2166667,3.171875,4.3939395,3.5428572,4.2647057,4.1506848
22,4.9828324,2.2532189,3.8025751,1.8197424,1.8111588,4.334764,1.0361446,-.25301206,1.6551725,3.9200001,3.8,4.5416665,4.2142859,4.25,4.5066667,4.2361112
23,1.8454546,3.5818181,2.6136363,1.9409091,3.7909091,3.8318181,1.0136986,-1,.083333336,2.7012987,2.7971015,3.2602739,3.5844157,2.3846154,3.1724138,2.942857
24,4.3034186,3.6794872,2.7307692,1.7991453,3.0384614,3.965812,1.0886075,-.83333331,1.2142857,3.0476191,3.1594203,4.2741938,4.5999999,3.5409837,4.0126581,3.7605634
25,4.9025426,3.0423729,3.0720339,1.6016949,2.9957628,3.7796609,4.1466665,-.38805971,1.9027778,3.5507247,3.7972972,4.3636365,4.2537313,4.5714288,4.6527777,4.057971
26,1.716279,3.3813953,2.8,2.6325581,3.8465116,3.7860465,1.0128205,.94444442,.071428575,2.9425287,2.8571429,3.0131578,3.0232558,2.5974026,2.7857144,2.5714285
27,5.128099,2.6198347,3.2561984,1.7314049,2.2892561,4.2107439,4.8888888,.35294119,1.35,3.9230769,3.7532468,4.3888888,4.3000002,4.3731341,4.4923077,4.5526314
28,1.9594594,3.3783784,3.108108,2.3693693,3.5,4.4684687,1,-1,.048387095,2.6935484,2.4264705,2.9315069,3.5753424,2.7794118,3.2394366,3.6428571
29,4.1801801,2.0135136,4.4864864,1.9594594,1.8288288,4.2072072,1.1470588,.88235295,1.3880597,3.3571429,3.5,3.7464788,4.0757575,3.8,4.1142859,4.0270271
30,3.9636364,2.4318182,2.9727273,2.7409091,1.9727273,2.9727273,1.0405406,-.98837209,.34567901,3.2555556,3.2261906,4.2266665,4.3239436,3.8970587,4.4050632,4.0149255
31,2.8455284,4.0934958,2.7886178,2.0081301,3.6869919,4.0365853,1.0357143,-.97500002,1.109375,3.2738094,3.390244,3.935065,3.8117647,3.8378379,3.8817205,3.8333333
32,3.8995633,3.2925763,2.9781659,1.9082969,3.0087335,3.6986899,2.3013699,-.97500002,1.3142858,3.0147059,3.0952382,3.690141,4.5066667,3.7105262,4.1857142,4.0277777
33,2.1284404,4.6100917,2.0917432,1.5825688,3.7293577,3.5412843,1.0294118,-1,.97260273,2.8676472,2.6557376,4.0454545,3.8082192,2.7285714,3.3898306,3.1585367
34,1.7165354,3.5393701,3.1299212,3.9291339,3.1181102,3.6811023,1.0256411,.92592591,.075949363,2.6363637,2.6410255,2.7974684,3.5647058,2.6309524,2.9638555,3.439394
35,5.6008968,2.4843049,2.6367712,1.4394618,2.5695066,3.1748879,4.2727275,-.61627907,2.0289855,3.7857144,3.8170731,4.7608695,4.5061727,4.2873564,4.5584416,4.1875
36,5.2263374,3.0411522,2.3868313,1.4032922,3.1358025,3.7777777,4.6022725,-.56944442,1.6666666,3.6268656,3.6428571,4.5405407,4.3720932,4.2982454,4.2647057,3.7571428
37,1.3305439,2.962343,2.5564854,4.6066947,2.7154813,2.046025,1.0704225,.90909094,.24657534,1.8656716,2.0704226,1.9240507,2.9848485,1.7638888,2.640625,2.3380282
38,1.7479675,3.0243902,3.6300814,2.0894308,3.6463416,4.3211384,1,-.97916669,.10344828,2.9767442,2.9555554,2.79,3.7951808,3.1573033,3,4.1538463
39,2.9404256,2.9276595,2.9574468,2.8595746,2.4255319,4.3744678,1,.81481481,.15492958,3.5479453,3.4098361,4.2686567,3.4827585,3.7017543,4.0819674,3.6724138
40,2.2570093,3.1775701,3.5280373,4.2476635,2.6728971,3.4345794,2.0563381,.46052632,.7647059,2.8730159,2.8674698,3.4558823,3.9344263,3.1851852,3.7571428,3.8108108
41,1.7850877,3.0263157,3.5087719,2.3640351,3.7675438,4.2280703,1.9436619,.53246754,.28735632,3.3690476,2.8472223,2.6976745,3.8433735,3.2045455,3.4880953,4.2317071
42,2.3053098,4.181416,2.4026549,2.2433629,4.0044246,2.8938053,1.96,.83333331,.94117647,3.3108108,3.0465117,3.375,3.9638555,2.9746835,3.4605262,3.0250001
